rated,starting_minutes,additional_seconds,white_rating,black_rating,moves,opening_eco,opening_name,opening_ply,winner
True,20,5,1207,1588,e4_e6_d4_d5_e5_c5_dxc5,C02,French_Defense_Advance_Steinitz_Variation,7,black
True,15,5,1595,1547,d4_d5_Bf4,D00,Queens_Pawn_Game_Mason_Attack,3,black
True,15,5,1855,1599,e4_e6_d4_d5_exd5,C01,French_Defense_Exchange_Variation,5,white
True,15,5,1589,1547,d4_e6,A40,Horwitz_Defense,2,white
True,30,0,1571,1728,d4_Nf6_Bf4_d5_Nf3,D02,Queens_Pawn_Game_London_System,5,white
True,30,0,1720,1579,e4_e6_Qe2,C00,French_Defense_Chigorin_Variation,3,white
True,15,5,1579,2105,d4_d5_Bf4_Nf6_Nf3,D02,Queens_Pawn_Game_London_System,5,black
True,15,5,1768,1560,e4_e6_f4,C00,French_Defense_La_Bourdonnais_Variation,3,black
True,15,5,1552,1436,d4_d5_Bf4,D00,Queens_Pawn_Game_Mason_Attack,3,white
True,15,5,1536,1667,d4_Nf6_Bf4_d5_Nf3,D02,Queens_Pawn_Game_London_System,5,white
True,15,5,1521,1549,c4_Nc6,A10,English_Opening_Anglo-Lithuanian_Variation,2,white
True,15,5,1251,1545,a4_e5_h4,A00,Crab_Opening,3,black
True,15,5,1537,1408,d4_d5_Bf4,D00,Queens_Pawn_Game_Mason_Attack,3,white
True,15,5,1522,1512,d4,A40,Queens_Pawn,1,white
True,15,5,1602,1532,e4_e6_d4_d5_Nc3_Bb4_e5_c5_a3_Bxc3+_bxc3,C18,French_Defense_Winawer_Variation_Advance_Variation_2,11,white
True,15,5,1543,1593,d4_Nf6_Bf4_d5_Nf3,D02,Queens_Pawn_Game_London_System,5,black
True,30,0,1556,1539,d4_d5_Bf4,D00,Queens_Pawn_Game_Mason_Attack,3,black
True,20,10,1409,1548,e4_e6_Nf3,C00,French_Defense_Knight_Variation,3,black
True,20,10,1539,1418,d4_d5_Bf4_Nf6_Nf3,D02,Queens_Pawn_Game_London_System,5,white
True,20,10,1603,1550,e4_e6_Nc3,C00,French_Defense_Queens_Knight,3,white
True,20,10,1542,1399,d4_d5_Bf4_c5,D00,Queens_Pawn_Game_Steinitz_Countergambit,4,white
True,20,10,1546,1877,d4_d5_Bf4_Nf6_Nf3,D02,Queens_Pawn_Game_London_System,5,black
True,20,10,1134,1535,d4_Nf6_Nf3_b6,A47,Queens_Indian_Defense,4,black
True,20,10,1513,1784,d4_e6,A40,Horwitz_Defense,2,white
True,20,10,1501,1445,d4_Nf6_Bf4_d5_Nf3,D02,Queens_Pawn_Game_London_System,5,white
False,45,0,1500,1500,e4_e5_Bc4_Nc6_d3_Nf6_Nf3_Bc5,C50,Italian_Game_Giuoco_Pianissimo_Normal,8,white
True,15,0,1734,1748,d4_d5_c4_Nf6,D06,Queens_Gambit_Refused_Marshall_Defense,4,white
True,10,0,1942,1739,e4_e6_d4_d5_Nc3_c5,C10,French_Defense_Marshall_Variation,6,white
True,10,0,1724,1855,e4_e5_Nf3_Nc6_d4_exd4_Nxd4,C45,Scotch_Game,7,white
True,10,0,1951,1729,e4_e6_d4_d5_e5_c5_c3_Qb6_Nf3_Nc6_a3,C02,French_Defense_Advance_Variation_Main_Line,11,white
True,10,0,1726,1388,e4_e5_Nf3_d6_d4,C41,Philidor_Defense,5,white
True,10,0,1735,1806,d4_Nf6_c4_g6_Nc3_d5,D80,Gruenfeld_Defense,6,black
True,10,0,1597,1728,e4_e6_Nf3,C00,French_Defense_Knight_Variation,3,black
True,10,0,1743,1738,e4_e6_d4_d5_Nc3_dxe4_Nxe4_Bd7_Nf3_Bc6,C10,French_Defense_Rubinstein_Variation_Fort_Knox_Variation,10,white
True,10,0,1721,1750,d4_d5_c4_e6_Nf3_Nf6_Bg5,D30,Queens_Gambit_Declined_Traditional_Variation,7,white
True,10,0,1746,1487,d4_d5_c4_dxc4_e3,D20,Queens_Gambit_Accepted_Old_Variation,5,white
True,10,0,1744,1735,e4_e6_d4_d5_e5_c5_c3_Nc6_Nf3,C02,French_Defense_Advance_Variation_Paulsen_Attack,9,black
True,10,0,1749,1631,d4_d5_c4_Nf6_Nc3_e6_Nf3_c5_cxd5,D41,Queens_Gambit_Declined_Semi-Tarrasch_5.cxd5,9,black
True,10,0,1769,1396,d4_d5_c4_dxc4_e3,D20,Queens_Gambit_Accepted_Old_Variation,5,black
True,5,8,1795,1760,d4_Nf6_Nf3_e6_e3,A46,Yusupov-Rubinstein_System,5,black
True,15,0,1729,1795,d4_d5_c4_e6_Nc3,D31,Queens_Gambit_Declined_Queens_Knight_Variation,5,white
True,10,0,1795,1784,e4_e5_Nf3_Nc6_Bb5_Bc5,C64,Ruy_Lopez_Classical_Variation,6,black
True,10,0,1770,1872,d4_d5_Nf3,D02,Queens_Pawn_Game_Zukertort_Variation,3,white
True,10,0,1783,1721,d4_d5_Nf3_Nf6_Bf4,D02,Queens_Pawn_Game_London_System,5,black
True,10,0,1884,1768,e4_e5_Nf3_Nc6_Bb5_Bc5_c3,C64,Ruy_Lopez_Classical_Variation_Central_Variation,7,black
True,10,0,1756,1756,e4_e5_Bc4_Nf6_d4,C24,Bishops_Opening_Ponziani_Gambit,5,black
True,8,0,1724,1958,d4_Nf6_Nf3_c5_d5,A43,Benoni_Defense_Benoni-Indian_Defense_Kingside_Move_Order,5,white
True,10,0,2036,1706,Nf3_d5_g3_c5_Bg2_Nc6,A08,Kings_Indian_Attack_French_Variation,6,black
True,10,0,1706,925,d4_d5_Nf3_Nf6_Bf4,D02,Queens_Pawn_Game_London_System,5,white
True,15,15,1244,1219,d4_d6_e4_Nc6,B00,Nimzowitsch_Defense_Mikenas_Variation,4,black
True,15,15,1215,921,e4_e5_Nf3_Nc6_Bc4,C50,Italian_Game,5,white
True,15,15,1350,1201,e4_Nf6_e5_Nd5_d4,B03,Alekhine_Defense_2,5,black
True,15,15,1210,1280,e4_c5_Nf3_Nf6,B29,Sicilian_Defense_Nimzowitsch_Variation,4,black
True,15,15,1220,1341,e4_e5_Nf3_Nc6_Bc4_Nf6_Ng5_d5_exd5_Nxd5_Nxf7,C57,Italian_Game_Two_Knights_Defense_Fried_Liver_Attack,11,black
True,15,15,1234,1359,e4_e5_Nf3_Nc6_Bc4_h6,C55,Italian_Game_Anti-Fried_Liver_Defense,6,black
True,15,15,1275,1236,e4_e5_Nf3_Nc6_Bc4_Nf6_Ng5_d5_exd5_Nxd5_Nxf7,C57,Italian_Game_Two_Knights_Defense_Fried_Liver_Attack,11,black
True,15,15,1433,1282,e4_Nf6_d3,B02,Alekhine_Defense_Maroczy_Variation,3,white
True,15,15,1132,1276,d4_Nf6_c4_d5,D06,Queens_Gambit_Refused_Marshall_Defense,4,black
False,30,2,1276,1308,e4_e5_Nf3_Nc6_Bc4_h6,C55,Italian_Game_Anti-Fried_Liver_Defense,6,white
True,15,15,1228,1266,e4_Nf6_e5_Nd5_c4_Nb6_c5,B02,Alekhine_Defense_Two_Pawn_Attack_Lasker_Variation,7,black
True,15,15,1273,1409,e4_c6_d4_d5_exd5,B13,Caro-Kann_Defense_Exchange_Variation,5,black
True,15,15,1338,1277,d4_d5_e3,D00,Queens_Pawn_Game_2,3,white
True,15,15,1263,1336,e4_c5_Nf3_d6_d4_cxd4_Nxd4_Nf6,B57,Sicilian_Defense_Modern_Variations_Main_Line,8,white
True,15,15,1316,1273,c4_e5,A20,English_Opening_Kings_English_Variation,2,white
True,15,15,1248,1253,e4_h5,B00,Goldsmith_Defense,2,white
True,15,15,1335,1233,d4_Nf6_c4_e6_Nc3_Bb4,E20,Nimzo-Indian_Defense,6,black
True,15,15,1223,1189,e4_e5_Nf3_Nc6_Bc4_Nf6_Ng5_d5_exd5_Nxd5_Nxf7,C57,Italian_Game_Two_Knights_Defense_Fried_Liver_Attack,11,white
True,15,15,1443,1204,e4_Nf6,B02,Alekhine_Defense,2,black
True,15,15,1227,1216,d4_d5_c4_Nf6,D06,Queens_Gambit_Refused_Marshall_Defense,4,white
True,15,15,1227,1227,e4_Nf6_Nc3_e5_Bc4_Bc5_Nf3_Nc6,C50,Four_Knights_Game_Italian_Variation,8,white
True,10,0,1550,1225,d4_Nf6_c4_e6_Nf3_Bb4+_Bd2_Bxd2+,E11,Bogo-Indian_Defense_Exchange_Variation,8,white
True,15,15,1325,1234,e4_Nf6,B02,Alekhine_Defense,2,white
True,15,15,1212,1221,e4_Nf6_e5_Nd5_Nc3,B02,Alekhine_Defense_Saemisch_Attack,5,black
True,15,15,1226,1478,e4_e5_Nf3,C40,Kings_Knight_Opening,3,black
True,25,0,1228,1626,d4_d5_c4_e6,D30,Queens_Gambit_Declined,4,black
False,10,2,1191,1228,d4_Nf6_Nc3_e6_e4_d5_e5,C11,French_Defense_Classical_Variation_Steinitz_Variation,7,white
True,30,0,1422,1210,e4_Nf6_e5_Nd5_c4,B02,Alekhine_Defense_Two_Pawn_Attack,5,black
True,15,15,1186,1223,e4_Nf6_Nc3_e5_f4,C28,Vienna_Game_Vienna_Gambit,5,white
True,15,15,1212,1212,e4_g6,B06,Modern_Defense,2,white
True,15,15,1228,1343,e4_d5_exd5_Nf6_c4_c6,B01,Scandinavian_Defense_Panov_Transfer,6,black
True,10,10,1865,1862,Nf3_Nf6_d4_e6_e3,A46,Yusupov-Rubinstein_System,5,white
True,7,2,1852,1852,e4_c5_Nf3_Nc6_Bb5,B30,Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack,5,white
True,15,0,1833,1863,d4_Nf6_c4_c5,A56,Benoni_Defense,4,white
True,15,0,1851,1918,e4_c5_Nf3_g6,B27,Sicilian_Defense_Hyperaccelerated_Dragon,4,white
True,15,0,1861,1844,e4_e5_Nf3_Nc6_Bc4_h6,C55,Italian_Game_Anti-Fried_Liver_Defense,6,black
True,10,0,1853,1774,e4_e5_Nf3_Nc6_Bb5_Nf6,C65,Ruy_Lopez_Berlin_Defense_2,6,white
True,10,0,1910,1862,e4_c5_Nf3_d6_d4_cxd4_Nxd4_Nf6_Nc3_a6_Bc4,B90,Sicilian_Defense_Najdorf_Lipnitsky_Attack,11,white
True,10,0,1851,1890,e4_e6_Nf3,C00,French_Defense_Knight_Variation,3,white
True,15,5,1860,1840,e4_c5_Nf3_d6_c3,B50,Sicilian_Defense_Delayed_Alapin,5,black
True,25,25,1828,1848,e4_c5_Nf3_d6_Bb5+,B51,Sicilian_Defense_Canal-Sokolsky_Attack,5,white
True,8,0,1855,1858,Nh3,E00,Amar_Opening,1,white
True,10,10,1847,1895,e4_e5_Nf3_Nc6_Bb5_a6_Ba4_Bc5,C70,Ruy_Lopez_Morphy_Defense_Classical_Defense_Deferred,8,white
True,10,10,1885,1856,e4_c5_Nf3_d6,B50,Sicilian_Defense,4,white
True,30,0,1847,1802,d4,A40,Queens_Pawn,1,white
False,20,5,1847,1856,e4_c6_Nf3_d5_Nc3_Bg4,B11,Caro-Kann_Defense_Two_Knights_Attack_Mindeno_Variation,6,black
True,15,0,1840,1837,e4_c5_c3,B22,Sicilian_Defense_Alapin_Variation,3,black
True,5,5,1848,1806,e4_c5_Nf3_e6,B40,Sicilian_Defense_French_Variation,4,black
True,15,0,1860,1820,e4_e6_Nf3,C00,French_Defense_Knight_Variation,3,black
True,10,0,1854,1849,d4_Nf6_f3,A45,Paleface_Attack,3,black
True,10,0,1895,1859,e4_c5_Nf3_d6,B50,Sicilian_Defense,4,white
True,15,0,1866,1965,e4_c5_Nf3_Nc6_Bb5_g6,B31,Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack_Fianchetto_Variation,6,black
False,10,0,1835,1866,e4_c6_d4_d5_Nc3_dxe4_Nxe4_Bf5_Ng3_Bg6_Nh3,B18,Caro-Kann_Defense_Classical_Variation_Flohr_Variation,11,black
True,15,0,1877,1860,e4_e5_Nf3_Nc6_Bb5_Nd4,C61,Ruy_Lopez_Bird_Variation,6,black
True,7,8,1849,1874,e4_c5_Nf3_d6_d4_cxd4_Nxd4_a6_Nc3_Nf6_h3,B90,Sicilian_Defense_Najdorf_Variation_Adams_Attack,11,white
True,6,6,1835,1865,d4_Nf6_Nf3_e6_c4_c5,E10,Blumenfeld_Countergambit_2,6,black
True,15,0,1856,1829,e4_e5_Nf3_Nc6_Bb5_d6_O-O_a6_Ba4_b5_Bb3_Nf6,C78,Ruy_Lopez_Morphy_Defense_2,12,white
True,10,0,1845,1846,e4_e5_Nf3_Nc6_Bb5_a6_Ba4_Bc5,C70,Ruy_Lopez_Morphy_Defense_Classical_Defense_Deferred,8,white
True,15,0,1834,1835,e4_c5_Nf3_Nc6,B30,Sicilian_Defense_Old_Sicilian,4,black
True,15,5,1846,1845,e4_c6,B10,Caro-Kann_Defense,2,white
False,10,0,1845,1917,d4_d5_c4_Nf6,D06,Queens_Gambit_Refused_Marshall_Defense,4,black
True,15,0,1858,1790,e4_d5_exd5_Qxd5,B01,Scandinavian_Defense_Mieses-Kotroc_Variation,4,black
True,10,0,1871,1847,e4_c5_Nf3_Nc6,B30,Sicilian_Defense_Old_Sicilian,4,black
True,10,0,1846,1869,e4_e5_Nf3_d6_d4,C41,Philidor_Defense,5,black
True,16,0,1843,1836,e4_c5_c3,B22,Sicilian_Defense_Alapin_Variation,3,black
True,15,0,1800,1826,e4_c5,B20,Sicilian_Defense,2,black
False,8,0,1283,1267,e4_c5_Nf3_Nc6_Bb5,B30,Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack,5,black
True,10,4,1290,1270,g3,A00,Hungarian_Opening,1,black
True,12,0,1331,1281,d4_d5_e3_Nf6,D00,Queens_Pawn_Game_3,4,white
True,10,0,1304,1292,e3,A00,Vant_Kruijs_Opening,1,white
True,10,0,1305,1293,e4_e6_d4,C00,French_Defense_Normal_Variation,3,black
True,10,0,1308,1317,e4_e5_d4_exd4_Qxd4_Nc6_Qe3_Nf6,C22,Center_Game_Berger_Variation,8,white
True,15,0,1296,1305,e4_e5_Nf3_Nc6_Bc4_Bc5_c3_Nf6_d4_exd4_cxd4_Bb4+_Nc3,C54,Italian_Game_Giuoco_Piano_Grecos_Attack,13,black
False,30,0,968,1305,e4_e5_Nf3_Nc6_Bc4_Nf6_Nc3_Bc5,C50,Four_Knights_Game_Italian_Variation,8,black
False,15,15,1293,1466,e4_e5_Nf3_d6_Bc4,C41,Philidor_Defense_3,5,black
True,7,2,1500,1299,e4_e5_Nf3_Nc6_Bb5_a6_Bxc6,C68,Ruy_Lopez_Exchange_Variation,7,white
True,7,2,1288,1232,e4_c6_d4,B12,Caro-Kann_Defense,3,white
True,7,2,1289,2108,e4_e5_Nf3_Nc6_Bb5_a6_Ba4_Nf6_Nc3,C77,Ruy_Lopez_Morphy_Defense_Tarrasch_Variation,9,black
False,7,2,1431,1289,e4_e5_d4_exd4_Qxd4_Nc6,C22,Center_Game_Normal_Variation,6,white
False,7,2,1806,1289,e4_e5_Nf3_Nc6_d4_exd4_Nxd4,C45,Scotch_Game,7,white
False,7,2,1289,1311,e4_e5_Nf3_d6_Bc4,C41,Philidor_Defense_3,5,white
False,7,2,1431,1289,e3_e5_d4,A40,Englund_Gambit_Declined_Reversed_French,3,black
False,7,2,1289,1484,e4_e5_Nf3_Nc6_Bc4_Bc5,C50,Giuoco_Piano,6,black
False,7,2,1289,1810,e4_c5_Nf3_g6_d4,A42,Sicilian_Defense_Hyperaccelerated_Fianchetto,5,black
False,7,2,1806,1289,e4_e5_Nf3_Nc6_d4,C44,Scotch_Game,5,black
False,5,8,1289,1500,e4_e5_Nf3_d6_Bc4,C41,Philidor_Defense_3,5,white
True,15,1,1409,1297,e4_e5_Nf3_Nc6_Bb5_a6_Ba4_b5,C70,Ruy_Lopez_Morphy_Defense_Caro_Variation,8,white
True,15,1,1280,1485,e4_e5_Nf3_Nc6_Bc4_h6,C55,Italian_Game_Anti-Fried_Liver_Defense,6,white
False,15,0,1280,1211,e4_d5_exd5_Qxd5,B01,Scandinavian_Defense_Mieses-Kotroc_Variation,4,white
False,15,0,1211,1280,h4_e5_a4,A00,Crab_Opening,3,black
True,10,0,1281,1765,e4_e5_Nf3_d6_Bc4_Be7,C41,Philidor_Defense_4,6,black
True,15,1,1288,1454,e4_e5_Nf3_Nf6,C42,Petrovs_Defense,4,black
True,15,1,1560,1270,d4_d5_c4_Nc6_Nc3,D07,Queens_Gambit_Refused_Chigorin_Defense_2,5,black
True,15,1,1274,1534,e4_e5_Nf3_c5,B27,Sicilian_Defense_Jalalabad_Variation,4,black
True,10,0,1614,1238,d4_d5_Bf4_Nf6_Nf3,D02,Queens_Pawn_Game_London_System,5,black
True,10,0,1221,1417,e4_e6_d4_d5_e5_c5_c3_Nc6_Nf3_Qb6_Bd3,C02,French_Defense_Advance_Variation_Milner-Barry_Gambit,11,white
True,10,0,1222,1732,e4_c5_Nf3_Nc6_d4_cxd4_Nxd4,B32,Sicilian_Defense_Open_3,7,black
True,10,0,1232,1234,e4_e5_Nf3_Nc6_Bb5_a6_Bxc6,C68,Ruy_Lopez_Exchange_Variation,7,white
True,20,5,1240,1219,e4_e5_Nf3_Nf6_Nxe5_Nxe4_Qe2_Qe7,C42,Russian_Game_Damiano_Variation_Kholmov_Gambit,8,white
True,10,0,1590,1600,c4_e5_Nc3_Nf6_g3,A22,English_Opening_Carls-Bremen_System,5,white
True,10,0,1500,1358,e4_e5_Nf3_Nc6_Nc3_Nf6,C46,Four_Knights_Game,6,white
False,10,2,1384,1325,e4_d6,B07,Pirc_Defense_4,2,black
False,30,0,1384,1265,Nf3_d5_d3,A06,Zukertort_Opening_Old_Indian_Attack,3,black
False,2,10,1384,1950,Nf3_c5,A04,Zukertort_Opening_Sicilian_Invitation,2,black
True,20,10,1377,1249,e4_d5_exd5_Qxd5,B01,Scandinavian_Defense_Mieses-Kotroc_Variation,4,white
True,9,0,1375,1389,e4_e5_Qh5_Nf6,C20,Kings_Pawn_Game_Wayward_Queen_Attack_Kiddie_Countergambit,4,white
True,10,2,1378,1361,e4_e5_Nf3_d6_d4,C41,Philidor_Defense,5,white
True,10,2,1261,1371,e4_e5_d4_d6,B07,Kings_Pawn_Game_Maroczy_Defense,4,black
True,10,9,1380,1429,e4_c5_Nf3_Nc6,B30,Sicilian_Defense_Old_Sicilian,4,black
True,10,0,1369,1368,e4_e5_Nf3_Nf6_Nxe5_Nxe4,C42,Russian_Game_Damiano_Variation,6,white
True,10,0,1290,1371,e4_e5_Nf3_Nc6_Bb5_Nf6_d4_a6_Ba4,C77,Ruy_Lopez_Morphy_Defense_Mackenzie_Variation,9,white
True,6,7,1361,1383,e3,A00,Vant_Kruijs_Opening,1,white
True,15,15,1217,1399,c4_e5_Nc3_Nf6,A22,English_Opening_Kings_English_Variation_Two_Knights_Variation,4,white
True,15,30,1387,1447,e4_e5_Nf3_Nc6_Bb5,C60,Ruy_Lopez,5,white
False,20,0,1474,1387,e4_d5,B01,Scandinavian_Defense,2,black
True,15,2,1377,1351,Nf3_d6_e4_e5,C41,Philidor_Defense_2,4,white
True,30,10,1389,1339,e4_e5_Nf3_Qf6,C40,Kings_Pawn_Game_McConnell_Defense,4,black
False,30,15,1389,1400,e4_e5_Nf3_d6,C41,Philidor_Defense_2,4,black
False,10,0,1849,1389,e4_e5_Nf3_Nc6_d4,C44,Scotch_Game,5,white
True,8,0,1395,1378,e4_e5_Nf3_Nc6_Bc4_Bc5_Nc3_Nf6_d3,C50,Italian_Game_Giuoco_Pianissimo_Italian_Four_Knights_Variation,9,black
True,5,5,1370,1257,e4_e5_Nf3_Nc6_Bb5_Nd4,C61,Ruy_Lopez_Bird_Variation,6,white
True,10,3,1360,1332,e4_Nc6_Nf3_f5_exf5,B00,Nimzowitsch_Defense_Lean_Variation_Colorado_Counter_Accepted,5,white
False,10,0,1311,1360,e4_e5_d4_d5,C21,Kings_Pawn_Game_Beyer_Gambit,4,white
False,20,0,1714,1360,e4_e5_Nf3_Nc6_Bb5_Bc5,C64,Ruy_Lopez_Classical_Variation,6,white
