id,rated,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,minutes
uXVbFIhU,True,white,15+0,xerxes123,1755,baranornarli,1792,d4 Nf6 c4 e6 Nc3 Bb4 Qc2,E32,Nimzo-Indian Defense: Classical Variation,7,15
RJKqqEPe,True,white,10+0,ramdon35000,2131,sabila,1869,d4 d5 c4 Nf6,D06,Queen's Gambit Refused: Marshall Defense,4,10
ET77fow5,True,white,20+15,robixy,2087,chess12377,1909,e4 e5 Bc4 c6,C23,Bishop's Opening: Philidor Counterattack,4,20
dK4dTh4x,True,white,10+0,mikull,1471,cerseisminge,1397,g4 d5 Bg2 e5 c4,A00,Grob Opening: Spike |  Hurst Attack,5,10
e99Zvuey,False,white,10+0,chesswithmom,2294,schoonied,1319,e4 e5 Nf3 Nc6 Bb5,C60,Ruy Lopez,5,10
3ZfA3gFa,True,white,15+15,rookreversal,1217,thegrim123321,1399,c4 e5 Nc3 Nf6,A22,English Opening: King's English Variation |  Two Knights Variation,4,15
kobZaV77,True,black,20+3,dac23,1615,nuffsaidm8,1636,e3,A00,Van't Kruijs Opening,1,20
881xo8gq,True,draw,15+10,ankachess,1309,mastermrk,1305,e4 d5,B01,Scandinavian Defense,2,15
KYFMAOG1,True,black,10+0,eryximaque,1670,sugarmike,1984,e4 g6 d4 Bg7,B06,Robatsch (Modern) Defense,4,10
E9AHLJi2,True,black,15+15,counter-check,1498,cape217,1391,e3,A00,Van't Kruijs Opening,1,15
1HUJ9DFi,True,white,10+0,sayedibraheem,1549,arsenelupin1620,1570,e4 e5 c4 Nc6 Nf3,C44,King's Pawn Game: Dresden Opening,5,10
