id,rated,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
PmpkWkmm,FALSE,black,15+15,shivangithegenius,1094,sureka_akshat,1141,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5,C50,Four Knights Game: Italian Variation,8
EwaK0IsE,FALSE,black,15+16,sureka_akshat,1141,shivangithegenius,1094,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5,C50,Four Knights Game: Italian Variation,8
yrSDozT3,FALSE,black,15+15,shivangithegenius,1094,slam_ment,1300,e4 e5 Nf3 d6 Bc4,C41,Philidor Defense #3,5
x31mXlvc,FALSE,white,11+0,g-ios,1500,shivangithegenius,1094,d4 d5,D00,Queen's Pawn Game,2
oQklnWWp,FALSE,black,15+15,shivangithegenius,1094,lex_v1,1676,e4 e5 Nf3 Nc6 Bc4 h6,C55,Italian Game: Anti-Fried Liver Defense,6
QFCZwY1f,FALSE,white,30+60,shivangithegenius,1094,themannichreaction,1068,d4 e6,A40,Horwitz Defense,2
5cgBygpI,FALSE,white,15+5,storm28rus,1500,shivangithegenius,1094,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
UhXXBOMY,TRUE,white,10+0,robotsmoke,1307,shivangithegenius,1106,c4 Nc6 Nc3 e5,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
mCij4hBq,TRUE,black,10+0,shivangithegenius,1113,ivangonzalez123,1423,e4 c5 d4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
ifUMWtVj,TRUE,white,10+10,shivangithegenius,1078,sureka_akshat,1219,d4 d5 Nc3 Nf6,D01,Queen's Pawn Game: Chigorin Variation,4
Wf0zuLQQ,TRUE,white,10+10,gmcarlsen403,1825,shivangithegenius,1079,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5,C45,Scotch Game: Haxo Gambit,8
srz9QfSN,TRUE,black,10+10,mannat1,1328,shivangithegenius,1038,d4 d5 Nc3 Nf6,D01,Queen's Pawn Game: Chigorin Variation,4
NS6ccssb,TRUE,black,10+10,shivangithegenius,1056,biyanivedant01,1156,d4 d5 c4 c6,D10,Slav Defense,4
M3vpf2Ki,TRUE,black,10+10,shivangithegenius,1077,chinmaysharma,1148,d4 d5 c4 Nf6,D06,Queen's Gambit Refused: Marshall Defense,4
fXhNOnOn,TRUE,black,10+10,biyanivedant01,1358,shivangithegenius,1036,e4 c5 d4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
DiCTkvZH,TRUE,black,10+10,rv0209,1200,shivangithegenius,1002,e4 c5 Nf3 d6 Bb5+ Bd7,B52,Sicilian Defense: Canal Attack |  Main Line,6
FSkgvV2E,TRUE,white,10+10,vihaandumir,1203,shivangithegenius,1019,e4 c5 Nf3,B27,Sicilian Defense,3
F1mRjzPr,FALSE,black,15+3,shivangithegenius,1019,shamlanaseer,1500,d4 d5 c4 dxc4 e4 b5,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
Lq24M4KQ,FALSE,white,18+0,medovich,1422,shivangithegenius,975,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
lHNM8cl5,TRUE,black,10+0,shivangithegenius,976,sorethea,1832,d4 g6 e4 Bg7,B06,Robatsch (Modern) Defense,4
GfeEgLV3,TRUE,white,10+0,rico21,1569,shivangithegenius,978,d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Bf5,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
OR6aULrW,FALSE,black,15+0,shivangithegenius,978,jojo58,1500,d4 Nf6,A45,Indian Game,2
Yg006qwa,FALSE,white,15+0,jojo58,1500,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 Bc4 O-O f3 Nc6 Qd2,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
G5S21pXK,FALSE,white,30+30,rajuppi,2449,shivangithegenius,978,c4 e5 Nc3,A21,English Opening: King's English Variation |  Reversed Sicilian,3
R9a2DLwe,FALSE,draw,20+25,white_queen_1990,1207,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6,B70,Sicilian Defense: Dragon Variation,10
r4LcBZA7,FALSE,black,5+5,milestretch,1241,shivangithegenius,978,e4 c5 Nc3,B23,Sicilian Defense: Closed Variation,3
SDDXGw21,FALSE,white,30+0,stephen789,1500,shivangithegenius,978,e4 c5 d4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
oqoT4DLS,FALSE,white,40+40,rajuppi,2443,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
eSociDPG,FALSE,white,20+0,hmbrgr,1500,shivangithegenius,978,e4 c5 d4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
mpzYDfIK,FALSE,white,15+0,jjwrchess,1500,shivangithegenius,978,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
27zreJYy,FALSE,black,15+0,shivangithegenius,978,jjwrchess,1500,e4 d5,B01,Scandinavian Defense,2
IRYkgI8N,FALSE,white,10+0,adnanraj,1343,shivangithegenius,978,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
tLnhk43J,FALSE,white,40+40,rajuppi,2436,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
iq3Kz06t,FALSE,white,40+40,rajuppi,2436,shivangithegenius,978,e4 d5 exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
AAw1TiNN,FALSE,black,10+0,shivangithegenius,978,balkarec,1500,d4 e6 e4,C00,French Defense: Normal Variation,3
n4vRYUCW,FALSE,white,10+0,lucasimeon,1500,shivangithegenius,978,e4 e5 d4 d5,C21,King's Pawn Game: Beyer Gambit,4
KYPdQv8e,FALSE,white,10+0,shivangithegenius,978,lucasimeon,1500,d4 f5,A80,Dutch Defense,2
p30PeXvE,FALSE,black,10+0,lucasimeon,1500,shivangithegenius,978,c4 e5,A20,English Opening: King's English Variation,2
PBS4FEld,TRUE,white,16+0,wing175,1521,gerfsh,1162,Nf3 e5,A04,Zukertort Opening: Ross Gambit,2
0lDqWVlz,TRUE,white,6+10,caramiecho72,1407,gerfsh,1500,e4 c5 Nc3,B23,Sicilian Defense: Closed Variation,3
O3wdIwg7,TRUE,white,10+0,mazyaraghgmail,1492,wpc96,1458,e4 e5 a3 Nf6 Nc3,C26,Vienna Game: Mengarini Variation,5
48ktrxLp,TRUE,black,10+0,anrk,1414,wpc96,1442,e4 e5 Nf3 d6 d4 exd4 Nxd4 g6,C41,Philidor Defense: Larsen Variation,8
i2GBGO0R,TRUE,black,10+0,wpc96,1457,tbaruel,1294,e4 e5 Nf3 Nc6 d4,C44,Scotch Game,5
QZSTu1aT,TRUE,white,10+0,acahn,1525,wpc96,1466,e4 e5 Nf3 d6 Bc4 f5,C41,Philidor Defense: Lopez Countergambit,6
9tU9MM6P,TRUE,black,8+10,iskendermyucel,1207,oldpaths,1579,e4 e6 Nf3,C00,French Defense: Knight Variation,3
ztpC1S2c,TRUE,white,8+12,oldpaths,1567,david1488,1573,d4 g6,A40,Modern Defense,2
qc8aH5XL,TRUE,black,8+12,oldpaths,1578,lc777,1605,d4 e6,A40,Horwitz Defense,2
6sTz6t7D,TRUE,white,8+12,jordanfury,1939,oldpaths,1581,d4 Nf6 c4 e6 Nf3 c5,E10,Blumenfeld Countergambit #2,6
XuyVUkDi,TRUE,black,5+10,porquepepe,1618,oldpaths,1568,e4 e6,C00,French Defense #2,2
D5Oa4vGO,TRUE,white,7+12,gio1212,1755,oldpaths,1574,Nf3 g6,A04,Zukertort Opening: Kingside Fianchetto,2
6QAiH2Yy,TRUE,white,15+10,oldpaths,1561,rubberchicken04,1596,d4 Nf6,A45,Indian Game,2
l7top9ps,TRUE,black,5+40,berejokserg,1500,oldpaths,1554,e4 e6 Nc3,C00,French Defense: Queen's Knight,3
nG3Of11I,TRUE,white,15+5,oldpaths,1544,trump216bc,1461,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
cUzM68JF,TRUE,black,20+5,oldpaths,1563,efer003,1335,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
NZSBXWl2,TRUE,black,20+5,oldpaths,1579,fcolpo,1470,d4 d6,A41,Queen's Pawn,2
DHuXFP6C,TRUE,white,20+5,chesschumpchamp,1617,oldpaths,1590,d4 Nf6,A45,Indian Game,2
00R4UOcU,TRUE,black,20+5,aminox,1207,oldpaths,1588,e4 e6 d4 d5 e5 c5 dxc5,C02,French Defense: Advance |  Steinitz Variation,7
IN15cBnB,TRUE,black,15+5,oldpaths,1595,sale0706,1547,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
WYOts2ME,TRUE,white,15+5,redar1,1855,oldpaths,1599,e4 e6 d4 d5 exd5,C01,French Defense: Exchange Variation,5
oWFQ8mnz,TRUE,white,15+5,oldpaths,1589,insequitur,1547,d4 e6,A40,Horwitz Defense,2
i2I8y9Xh,TRUE,white,30+0,oldpaths,1571,tb-123,1728,d4 Nf6 Bf4 d5 Nf3,D02,Queen's Pawn Game: London System,5
osPCRdxJ,TRUE,white,30+0,tb-123,1720,oldpaths,1579,e4 e6 Qe2,C00,French Defense: Chigorin Variation,3
Mi1AmkiI,TRUE,black,15+5,oldpaths,1579,iris_foxspring,2105,d4 d5 Bf4 Nf6 Nf3,D02,Queen's Pawn Game: London System,5
7kK30TmL,TRUE,black,15+5,zoro55,1768,oldpaths,1560,e4 e6 f4,C00,French Defense: La Bourdonnais Variation,3
ThCXomTn,TRUE,white,15+5,oldpaths,1552,geburah,1436,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
4dH72B3d,TRUE,white,15+5,oldpaths,1536,urmil007,1667,d4 Nf6 Bf4 d5 Nf3,D02,Queen's Pawn Game: London System,5
4jRtIZTy,TRUE,white,15+5,serai,1521,oldpaths,1549,c4 Nc6,A10,English Opening: Anglo-Lithuanian Variation,2
wNK2HdLb,TRUE,black,15+5,allahdeweswin,1251,oldpaths,1545,a4 e5 h4,A00,Crab Opening,3
d62Tg4dc,TRUE,white,15+5,oldpaths,1537,antoniogallero,1408,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
TaSQfvww,TRUE,white,15+5,oldpaths,1522,matheuswillx,1512,d4,A40,Queen's Pawn,1
Xwpzq87m,TRUE,white,15+5,euler_jr,1602,oldpaths,1532,e4 e6 d4 d5 Nc3 Bb4 e5 c5 a3 Bxc3+ bxc3,C18,French Defense: Winawer Variation |  Advance Variation #2,11
AHmgnsKz,TRUE,black,15+5,oldpaths,1543,euler_jr,1593,d4 Nf6 Bf4 d5 Nf3,D02,Queen's Pawn Game: London System,5
MfNml1rl,TRUE,black,30+0,oldpaths,1556,krillnor,1539,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
mEAvshF2,TRUE,black,20+10,hoanghieudro2,1409,oldpaths,1548,e4 e6 Nf3,C00,French Defense: Knight Variation,3
ySsVdRfw,TRUE,white,20+10,oldpaths,1539,hoanghieudro2,1418,d4 d5 Bf4 Nf6 Nf3,D02,Queen's Pawn Game: London System,5
ylLqmXwb,TRUE,white,20+10,ehabhaddad,1603,oldpaths,1550,e4 e6 Nc3,C00,French Defense: Queen's Knight,3
8mceLIXN,TRUE,white,20+10,oldpaths,1542,gabrielsol,1399,d4 d5 Bf4 c5,D00,Queen's Pawn Game: Steinitz Countergambit,4
YmJpuJkM,TRUE,black,20+10,oldpaths,1546,crushmik,1877,d4 d5 Bf4 Nf6 Nf3,D02,Queen's Pawn Game: London System,5
PNNfempy,TRUE,black,20+10,amary33,1134,oldpaths,1535,d4 Nf6 Nf3 b6,A47,Queen's Indian Defense,4
TVfozmF5,TRUE,white,20+10,oldpaths,1513,remisero,1784,d4 e6,A40,Horwitz Defense,2
4LX77G3m,TRUE,white,20+10,oldpaths,1501,ryan94,1445,d4 Nf6 Bf4 d5 Nf3,D02,Queen's Pawn Game: London System,5
nBfSissu,FALSE,white,45+0,lotfibma,1500,hollyandclaws,1500,e4 e5 Bc4 Nc6 d3 Nf6 Nf3 Bc5,C50,Italian Game: Giuoco Pianissimo |  Normal,8
h1unxHlo,TRUE,draw,15+0,avelez8,1745,anonymous1705,1714,d4 d5 c4 Nf6,D06,Queen's Gambit Refused: Marshall Defense,4
OIyTAHCP,TRUE,white,15+0,avelez8,1734,ars01,1748,d4 d5 c4 Nf6,D06,Queen's Gambit Refused: Marshall Defense,4
bnCnIJSz,TRUE,white,10+0,salah04,1942,avelez8,1739,e4 e6 d4 d5 Nc3 c5,C10,French Defense: Marshall Variation,6
ZzWyY1f8,TRUE,white,10+0,avelez8,1724,vincenzo2000,1855,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7
mkKSL3Ev,TRUE,white,10+0,majid_alsalhi,1951,avelez8,1729,e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Nc6 a3,C02,French Defense: Advance Variation |  Main Line,11
aVwWNjNR,TRUE,white,10+0,avelez8,1726,pavankumarg,1388,e4 e5 Nf3 d6 d4,C41,Philidor Defense,5
DNUmSBH4,TRUE,black,10+0,avelez8,1735,mrmaccc,1806,d4 Nf6 c4 g6 Nc3 d5,D80,Gruenfeld Defense,6
Tlng5eqN,TRUE,black,10+0,hopefullman15,1597,avelez8,1728,e4 e6 Nf3,C00,French Defense: Knight Variation,3
wljkejE0,TRUE,white,10+0,laeca53,1743,avelez8,1738,e4 e6 d4 d5 Nc3 dxe4 Nxe4 Bd7 Nf3 Bc6,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10
iNZuj8bY,TRUE,white,10+0,totoymate,1721,avelez8,1750,d4 d5 c4 e6 Nf3 Nf6 Bg5,D30,Queen's Gambit Declined: Traditional Variation,7
Kan2JKOp,TRUE,white,10+0,avelez8,1746,frynoodles,1487,d4 d5 c4 dxc4 e3,D20,Queen's Gambit Accepted: Old Variation,5
bCUwPEJ7,TRUE,black,10+0,jdalcheco,1744,avelez8,1735,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3,C02,French Defense: Advance Variation |  Paulsen Attack,9
zTwM10Si,TRUE,black,10+0,avelez8,1749,yolandoparada,1631,d4 d5 c4 Nf6 Nc3 e6 Nf3 c5 cxd5,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
PBQ5Il7e,TRUE,black,10+0,avelez8,1769,murattibogurcu,1396,d4 d5 c4 dxc4 e3,D20,Queen's Gambit Accepted: Old Variation,5
z1LTn4pe,TRUE,black,5+8,cdvh,1795,hunecel,1760,d4 Nf6 Nf3 e6 e3,A46,Yusupov-Rubinstein System,5
7NKtCk3B,TRUE,white,15+0,hafedfree,1729,cdvh,1795,d4 d5 c4 e6 Nc3,D31,Queen's Gambit Declined: Queen's Knight Variation,5
TMtvbg3w,TRUE,black,10+0,decem,1795,cdvh,1784,e4 e5 Nf3 Nc6 Bb5 Bc5,C64,Ruy Lopez: Classical Variation,6
0OXPfTEt,TRUE,white,10+0,cdvh,1770,japcan,1872,d4 d5 Nf3,D02,Queen's Pawn Game: Zukertort Variation,3
YzMf40DM,TRUE,black,10+0,cdvh,1783,raubstein,1721,d4 d5 Nf3 Nf6 Bf4,D02,Queen's Pawn Game: London System,5
q3NHAFFp,TRUE,black,10+0,ashishbarda,1884,cdvh,1768,e4 e5 Nf3 Nc6 Bb5 Bc5 c3,C64,Ruy Lopez: Classical Variation |  Central Variation,7
Gz7Icasx,TRUE,black,10+0,omid163,1756,cdvh,1756,e4 e5 Bc4 Nf6 d4,C24,Bishop's Opening: Ponziani Gambit,5
3n4poRIX,TRUE,white,8+0,cdvh,1724,capito2017,1958,d4 Nf6 Nf3 c5 d5,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
XRuQPSzH,TRUE,black,10+0,chess-brahs,2036,cdvh,1706,Nf3 d5 g3 c5 Bg2 Nc6,A08,King's Indian Attack: French Variation,6
XPZikam7,TRUE,white,10+0,cdvh,1706,dashy1,925,d4 d5 Nf3 Nf6 Bf4,D02,Queen's Pawn Game: London System,5
5SNh53F9,TRUE,black,15+15,mosheaugustyn,1244,sassou,1219,d4 d6 e4 Nc6,B00,Nimzowitsch Defense: Mikenas Variation,4
ezdEKpqG,TRUE,white,15+15,sassou,1215,memoryberat,921,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
WyQjriEX,TRUE,black,15+15,fatmat,1350,sassou,1201,e4 Nf6 e5 Nd5 d4,B03,Alekhine Defense #2,5
vAOIY0jj,TRUE,black,15+15,sassou,1210,alpheus23,1280,e4 c5 Nf3 Nf6,B29,Sicilian Defense: Nimzowitsch Variation,4
gHld9WSr,TRUE,draw,15+15,sureka_akshat,1139,sassou,1212,e4 Nf6 Nc3 e5 Nf3 Nc6 Bc4 Bc5,C50,Four Knights Game: Italian Variation,8
dh2xQb3X,TRUE,black,15+15,sassou,1220,kapi77,1341,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Nxf7,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
TKwuIzb6,TRUE,black,15+15,sassou,1234,cohiba_313,1359,e4 e5 Nf3 Nc6 Bc4 h6,C55,Italian Game: Anti-Fried Liver Defense,6
s752sCLr,TRUE,black,15+15,sassou,1275,bagelsfu,1236,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Nxf7,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
lKYmVLZt,TRUE,white,15+15,sabayossi,1433,sassou,1282,e4 Nf6 d3,B02,Alekhine Defense: Maroczy Variation,3
dRhehsEy,TRUE,black,15+15,trelynn17,1132,sassou,1276,d4 Nf6 c4 d5,D06,Queen's Gambit Refused: Marshall Defense,4
7rbdtPwO,FALSE,white,30+2,sassou,1276,maougnassou,1308,e4 e5 Nf3 Nc6 Bc4 h6,C55,Italian Game: Anti-Fried Liver Defense,6
ahwTovI0,TRUE,black,15+15,laeufer26,1228,sassou,1266,e4 Nf6 e5 Nd5 c4 Nb6 c5,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
fgK91ojo,TRUE,black,15+15,sassou,1273,popsun,1409,e4 c6 d4 d5 exd5,B13,Caro-Kann Defense: Exchange Variation,5
Cmhkui8U,TRUE,white,15+15,mdaboczi,1338,sassou,1277,d4 d5 e3,D00,Queen's Pawn Game #2,3
TRpFAEWd,TRUE,white,15+15,sassou,1263,marktop1,1336,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6,B57,Sicilian Defense: Modern Variations |  Main Line,8
btHFH9xr,TRUE,white,15+15,rougethunder,1316,sassou,1273,c4 e5,A20,English Opening: King's English Variation,2
G9xaiPFl,TRUE,white,15+15,sassou,1248,shobik24,1253,e4 h5,B00,Goldsmith Defense,2
RkMlSx4r,TRUE,black,15+15,maninayebi,1335,sassou,1233,d4 Nf6 c4 e6 Nc3 Bb4,E20,Nimzo-Indian Defense,6
Z1CTghfR,TRUE,white,15+15,sassou,1223,agilm,1189,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Nxf7,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
X4QqWp8Q,TRUE,black,15+15,pune123,1443,sassou,1204,e4 Nf6,B02,Alekhine Defense,2
R6dF4yRx,TRUE,white,15+15,failedocean,1227,sassou,1216,d4 d5 c4 Nf6,D06,Queen's Gambit Refused: Marshall Defense,4
PLxCc87r,TRUE,draw,15+15,sassou,1215,lumipa,1219,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
p7a4FGwp,TRUE,white,15+15,fastandbulbous420,1227,sassou,1227,e4 Nf6 Nc3 e5 Bc4 Bc5 Nf3 Nc6,C50,Four Knights Game: Italian Variation,8
3udM9T6k,TRUE,white,10+0,minimouf,1550,sassou,1225,d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Bxd2+,E11,Bogo-Indian Defense: Exchange Variation,8
hkMNenrh,TRUE,white,15+15,goodolddaystr,1325,sassou,1234,e4 Nf6,B02,Alekhine Defense,2
jrmlULM0,TRUE,black,15+15,gonzalogp98,1212,sassou,1221,e4 Nf6 e5 Nd5 Nc3,B02,Alekhine Defense: Saemisch Attack,5
JbLparSt,TRUE,black,15+15,sassou,1226,vladimir_shindin,1478,e4 e5 Nf3,C40,King's Knight Opening,3
mqZFkCf3,TRUE,black,25+0,sassou,1228,martin74,1626,d4 d5 c4 e6,D30,Queen's Gambit Declined,4
dZn9WLT5,FALSE,white,10+2,gotochess,1191,sassou,1228,d4 Nf6 Nc3 e6 e4 d5 e5,C11,French Defense: Classical Variation |  Steinitz Variation,7
MgL176RS,TRUE,black,30+0,quent0,1422,sassou,1210,e4 Nf6 e5 Nd5 c4,B02,Alekhine Defense: Two Pawn Attack,5
V16nc5AF,TRUE,white,15+15,dangerflaps,1186,sassou,1223,e4 Nf6 Nc3 e5 f4,C28,Vienna Game: Vienna Gambit,5
GT8TdRlm,TRUE,white,15+15,sassou,1212,shazzam9999,1212,e4 g6,B06,Modern Defense,2
2P2u5f63,TRUE,black,15+15,sassou,1228,chessn00b47,1343,e4 d5 exd5 Nf6 c4 c6,B01,Scandinavian Defense: Panov Transfer,6
15nlkNRf,TRUE,white,10+10,japonxino,1865,isachess,1862,Nf3 Nf6 d4 e6 e3,A46,Yusupov-Rubinstein System,5
xwl41jna,TRUE,white,7+2,isachess,1852,roshan_ie,1852,e4 c5 Nf3 Nc6 Bb5,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
1zRjgcqm,TRUE,white,15+0,cliff_walker,1833,isachess,1863,d4 Nf6 c4 c5,A56,Benoni Defense,4
vfnLULoh,TRUE,white,15+0,isachess,1851,sergej1956,1918,e4 c5 Nf3 g6,B27,Sicilian Defense: Hyperaccelerated Dragon,4
ut6LIGPI,TRUE,black,15+0,isachess,1861,pogrib,1844,e4 e5 Nf3 Nc6 Bc4 h6,C55,Italian Game: Anti-Fried Liver Defense,6
1KbSJtjs,TRUE,white,10+0,isachess,1853,tartetatin,1774,e4 e5 Nf3 Nc6 Bb5 Nf6,C65,Ruy Lopez: Berlin Defense #2,6
cqrATt9o,TRUE,white,10+0,juncinmestrella,1910,isachess,1862,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
deKfSOPy,TRUE,white,10+0,isachess,1851,robinhood76,1890,e4 e6 Nf3,C00,French Defense: Knight Variation,3
vQ1psjxd,TRUE,black,15+5,tohaimr7,1860,isachess,1840,e4 c5 Nf3 d6 c3,B50,Sicilian Defense: Delayed Alapin,5
k1qV5HHz,TRUE,white,25+25,zpectral-chess,1828,isachess,1848,e4 c5 Nf3 d6 Bb5+,B51,Sicilian Defense: Canal-Sokolsky Attack,5
QQ3iIM2V,TRUE,white,8+0,javier_temperley,1855,isachess,1858,Nh3,E00,Amar Opening,1
GppFo58m,TRUE,white,10+10,isachess,1847,jadesummer,1895,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Bc5,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
BoDJGVyk,TRUE,white,10+10,jadesummer,1885,isachess,1856,e4 c5 Nf3 d6,B50,Sicilian Defense,4
tqirXAEm,TRUE,white,30+0,isachess,1847,borvel,1802,d4,A40,Queen's Pawn,1
GLC4oNZR,FALSE,black,20+5,isachess,1847,homayoni,1856,e4 c6 Nf3 d5 Nc3 Bg4,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
3eLsB99C,TRUE,black,15+0,demetrio50,1840,isachess,1837,e4 c5 c3,B22,Sicilian Defense: Alapin Variation,3
M6zMVwqK,TRUE,black,5+5,isachess,1848,maxpiz5,1806,e4 c5 Nf3 e6,B40,Sicilian Defense: French Variation,4
yrQWTJVz,TRUE,black,15+0,isachess,1860,philiveykk,1820,e4 e6 Nf3,C00,French Defense: Knight Variation,3
aF6DiZZe,TRUE,black,10+0,azcatdave,1854,isachess,1849,d4 Nf6 f3,A45,Paleface Attack,3
0dm3RaQv,TRUE,white,10+0,fikr,1895,isachess,1859,e4 c5 Nf3 d6,B50,Sicilian Defense,4
BxxAvvER,TRUE,black,15+0,isachess,1866,samdooley,1965,e4 c5 Nf3 Nc6 Bb5 g6,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
fPPfEuu5,FALSE,draw,10+0,isachess,1866,teguhmaster,1843,e4 c5 Nf3 d6,B50,Sicilian Defense,4
